country_name,most_common_religion,language,time_zone,economic_world_ranking,economy_type,largest_industry,capital_most_popular_nightlife_area,top_visited_tourist_attraction,national_cuisine,food_classification,most_exported_food,season_to_travel,type_of_climate,avg_days_of_sun,capital_city_region,most_used_public_transportation,public_transportation_owned_by,avg_price_of_public_transportation,types_of_public_transportation,homicide_rate,global_peace_index,avg_larceny,police_force
Albania,Islam,Albanian,CET,125,"Open, free-market based",Agriculture,Blloku,"Bunk'art, bunker","Tavë kosi, lamb baked rice",Albanian,Fish,Summer,Mediterranean,300,Tirana region,Train,Hekurudha shqiptare,$6.00,"Bus, train",2.31,40,6.9,Policia e shtetit
Andorra,Christianity,Catalan,CET,172,Mixed-market,Tourism,Avenue meritxell,Casa de la vall,"Escudella, white bean stew",Catalan,Sugar,Summer,Oceanic,300,Pyrenees,Bus,Government,$5.50,Bus,2.6,163,8.43,Police corps of andorra
Armenia,Christianity,Armenian,AMT,115,Mixed-market,Mining,Tumanyan streets,Republic square,"Harissa, chili sauce",Plant-based,Fish,Summer,Highland continental,300,Ararat,Minibus,Government,$0.25,"Bus, minibus, trolleybus, metro",2.19,83,22.79,Police of the republic of armenia
Austria,Christianity,German,CET,33,Mixed-market,Sales,Bermuda dreieck,Schönbrunn palace,Vienna schnitzel,Viennese,Dairy,Spring,Humid continental,150,Vienna region,Subway,Wiener linien,$2.20,"Bus, train",0.7,5,26.9,Bundespolizei
Azerbaijan,Islam,Azerbaijan,AZT,82,Mixed-market,Oil,Isr plaza,Heydar aliyev center,"Plov, lamb and rice",Azerbaijani,Fruits,Spring,Subtropical semi-arid,200,South caucasus,Metro,Baku metro,$0.50,"Metro, bus, taxi",1.9,95,11.3,National police
Belarus,Christianity,Russian,MSK,74,Market socialist,Food,Zybitskaya street,State museum of the history of the great patriotic war,"Draniki, potato pancake",Belarusian,Skimmed milk powder,Summer,Humid continental,120,Minsk region,Train,Belarusian railway,$0.60,"Train, metro, bus, trolleybus",2.33,116,3.16,Militsiya
Belgium,Christianity,Dutch french german,CET,23,Mixed-market,Pharmaceuticals,Rue d'aerschot street,Grand place,"Moules-frites, mussles",Flemish,Potatoes,Spring,Mild maritime,120,Brussels-capital,Bus,Brussels intercommunal transport company,$2.40,"Tram, bus, metro, train, taxi",1.1,20,1.08,Federal police
Bosnia and herzegovina,Islam,N/a,CET,115,Transitional,Mineral,Baščaršija neighborhood,Baščaršija neighborhood,"Cevapi, grilled sausage",Bosnian,Beef,Summer,Continental,160,Sarajevo canton,Tram,Sarajevo public transportation company,$2.00,"Tram, bus, train",1,61,0.98,Fbih police administration
Bulgaria,Christianity,Bulgarian,EET,69,"Open, free-market based",Tourism,Vitosha boulevard,Alexander nevsky cathedral,Shopska salad,Bulgarian,Sunflower seeds,Spring,Humid continental,160,Sofia city province,Bus,Bulgarian state railways,$2.00,"Train, bus",1.28,30,13,The national police service
Croatia,Christianity,Croatian,CET,82,Mixed-market,Manufacturing,tkalciceva street,Park maksimir,"Istrian yota, stew",Croatian,Maize,Spring,Oceanic,160,City of zagreb administrative unit,Bus,Croatia bus,$5.00,"Bus, train, subway, ferry",1,14,0,Croatian police
